DATE,DEUCPIALLMINMEI
2012-12-01,98.2302954704919
2013-01-01,97.7625321587277
2013-02-01,98.3238481328448
2013-03-01,98.791611444609
2013-04-01,98.3238481328448
2013-05-01,98.6980587822562
2013-06-01,98.791611444609
2013-07-01,99.2593747563733
2013-08-01,99.2593747563733
2013-09-01,99.2593747563733
2013-10-01,99.0722694316676
2013-11-01,99.2593747563733
2013-12-01,99.6335854057846
2014-01-01,99.0722694316676
2014-02-01,99.5400327434318
2014-03-01,99.8206907304904
2014-04-01,99.6335854057846
2014-05-01,99.5400327434318
2014-06-01,99.8206907304904
2014-07-01,100.101348717549
2014-08-01,100.101348717549
2014-09-01,100.101348717549
2014-10-01,99.8206907304904
2014-11-01,99.8206907304904
2014-12-01,99.8206907304904
2015-01-01,98.791611444609
2015-02-01,99.6335854057846
2015-03-01,100.101348717549
2015-04-01,100.101348717549
2015-05-01,100.194901379902
2015-06-01,100.101348717549
2015-07-01,100.288454042255
2015-08-01,100.288454042255
2015-09-01,100.101348717549
2015-10-01,100.101348717549
2015-11-01,100.194901379902
2015-12-01,100.101348717549
2016-01-01,99.2593747563733
